Name,Team,City,Position,Jersey,Height (ft),Weight (lbs),Draft Year,Draft Round,Draft Number,School,Birthday,Start Year,End Year,PTS,AST,REB
Alaa Abdelnaby,Trail Blazers,Portland,Forward,30,6.1,240,1990,1,25,Duke,6/24/1968,1990,1994,5.7,0.3,3.3
Zaid Abdul-Aziz,Rockets,Houston,Center,54,6.9,235,1968,1,5,Iowa State,4/7/1946,1968,1977,9,1.2,8
Kareem Abdul-Jabbar,Lakers,Los Angeles,Center,33,7.2,225,1969,1,1,California-Los Angeles,4/16/1947,1969,1988,24.6,3.6,11.2
Mahmoud Abdul-Rauf,Nuggets,Denver,Guard,1,6.1,162,1990,1,3,Louisiana State,3/9/1969,1990,2000,14.6,3.5,1.9
Tariq Abdul-Wahad,Kings,Sacramento,Forward-Guard,9,6.6,235,1997,1,11,San Jose State,11/3/1974,1997,2003,7.8,1.1,3.3
Shareef Abdur-Rahim,Grizzlies,Vancouver,Forward,3,6.9,245,1996,1,3,California,12/11/1976,1996,2007,18.1,2.5,7.5
Tom Abernethy,Warriors,Golden State,Forward,5,6.7,220,1976,3,43,Indiana,5/6/1954,1976,1980,5.6,1.2,3.2
Forest Able,Nationals,Syracuse,Guard,6,6.3,180,1956,,,Western Kentucky,7/27/1932,1956,1956,0,1,1
John Abramovic,Ironmen,Pittsburgh,Forward,,6.3,195,Undrafted,Undrafted,Undrafted,Salem International,2/9/1919,1946,1947,9.5,0.7,
Alex Abrines,,,,,,,2013,2,32, ,8/1/1993,2016,2018,5.3,0.5,1.4
Alex Acker,Clippers,Los Angeles,Guard,3,6.5,185,2005,2,60,Pepperdine,1/21/1983,2005,2008,2.7,0.5,1
Donald Ackerman,Knicks,New York,Guard, ,6,183,1953,2,,Long Island-Brooklyn,9/4/1930,1953,1953,1.5,0.8,0.5
Mark Acres,Magic,Orlando,Center,42,6.1,220,1985,2,40,Oral Roberts,11/15/1962,1987,1992,3.6,0.5,4.1
Charles Acton,Rockets,San Diego,Forward,24,6.6,210,Undrafted,Undrafted,Undrafted,Hillsdale,1/11/1942,1967,1967,3.3,0.5,2
