_id,Team Name,PTS Franchise Leader Name,Total Points,AST Franchise Leader Name,Total Assists,REB Franchise Leader Name,Total Rebounds,BLK Franchise Leader Name,Total Blocks,STL Franchise Leader Name,Total Steals
5f7d2a2167193676af277fa9,Chicago Bulls,Michael Jordan,29277,Michael Jordan,5012,Michael Jordan,5836,Artis Gilmore,1029,Michael Jordan,2306
5f7d2a2167193676af277faa,Dallas Mavericks,Dirk Nowitzki,31560,Derek Harper,5111,Dirk Nowitzki,11489,Dirk Nowitzki,1281,Derek Harper,1551
5f7d2a2167193676af277fb0,Miami Heat,Dwyane Wade,21556,Dwyane Wade,5310,Udonis Haslem,5754,Alonzo Mourning,1625,Dwyane Wade,1492
5f7d2a2167193676af277fa8,New Orleans Pelicans,Anthony Davis,11059,Chris Paul,4228,Anthony Davis,4905,Anthony Davis,1121,Chris Paul,1010
5f7d2a2167193676af277fc2,Charlotte Hornets,Kemba Walker,12009,Muggsy Bogues,5557,Emeka Okafor,3516,Alonzo Mourning,684,Muggsy Bogues,1067
5f7d2a2167193676af277fbf,Memphis Grizzlies,Mike Conley,11733,Mike Conley,4509,Marc Gasol,5942,Marc Gasol,1135,Mike Conley,1161
5f7d2a2167193676af277fc0,Washington Wizards,Elvin Hayes,15551,John Wall,5282,Wes Unseld,13769,Elvin Hayes,1558,John Wall,976
5f7d2a2167193676af277fa5,Atlanta Hawks,Dominique Wilkins,23292,Doc Rivers,3866,Bob Pettit,12849,Tree Rollins,2283,Mookie Blaylock,1321
5f7d2a2167193676af277fa7,Cleveland Cavaliers,LeBron James,23119,LeBron James,6228,LeBron James,6190,Zydrunas Ilgauskas,1269,LeBron James,1376
5f7d2a2167193676af277fac,Golden State Warriors,Wilt Chamberlain,17783,Guy Rodgers,4855,Nate Thurmond,12771,Adonal Foyle,1140,Chris Mullin,1360
5f7d2a2167193676af277fbd,Toronto Raptors,DeMar DeRozan,13296,Kyle Lowry,3939,Chris Bosh,4776,Chris Bosh,600,Kyle Lowry,828
5f7d2a2167193676af277fbe,Utah Jazz,Karl Malone,36374,John Stockton,15806,Karl Malone,14601,Mark Eaton,3064,John Stockton,3265
5f7d2a2167193676af277fad,Houston Rockets,Hakeem Olajuwon,26511,James Harden,4713,Hakeem Olajuwon,13382,Hakeem Olajuwon,3740,Hakeem Olajuwon,2088
5f7d2a2167193676af277fbc,Oklahoma City Thunder,Russell Westbrook,18859,Gary Payton,7384,Jack Sikma,7729,Serge Ibaka,1300,Gary Payton,2107
5f7d2a2167193676af277fa6,Boston Celtics,John Havlicek,26395,Bob Cousy,6945,Bill Russell,21620,Robert Parish,1703,Paul Pierce,1583
5f7d2a2167193676af277faf,Los Angeles Lakers,Kobe Bryant,33643,Magic Johnson,10141,Elgin Baylor,11463,Kareem Abdul-Jabbar,2694,Kobe Bryant,1944
5f7d2a2167193676af277fae,Los Angeles Clippers,Randy Smith,12735,Chris Paul,4023,DeAndre Jordan,7988,DeAndre Jordan,1276,Randy Smith,1072
5f7d2a2167193676af277fb3,Brooklyn Nets,Brook Lopez,10444,Jason Kidd,4620,Buck Williams,7576,Brook Lopez,972,Jason Kidd,950
5f7d2a2167193676af277fb7,Philadelphia 76ers,Hal Greer,21586,Maurice Cheeks,6212,Dolph Schayes,11256,Julius Erving,1293,Maurice Cheeks,1942
5f7d2a2167193676af277fba,Sacramento Kings,Oscar Robertson,22009,Oscar Robertson,7731,Sam Lacey,9353,Sam Lacey,1098,Sam Lacey,950
5f7d2a2167193676af277fb1,Milwaukee Bucks,Kareem Abdul-Jabbar,14211,Paul Pressey,3272,Kareem Abdul-Jabbar,7161,Alton Lister,804,Quinn Buckner,1042
5f7d2a2167193676af277fb9,Portland Trail Blazers,Clyde Drexler,18040,Terry Porter,5319,LaMarcus Aldridge,5434,Mychal Thompson,768,Clyde Drexler,1795
5f7d2a2167193676af277fb2,Minnesota Timberwolves,Kevin Garnett,19201,Kevin Garnett,4216,Kevin Garnett,10718,Kevin Garnett,1590,Kevin Garnett,1315
5f7d2a2167193676af277fab,Denver Nuggets,Alex English,21645,Alex English,3679,Dan Issel,5707,Dikembe Mutombo,1486,Lafayette Lever,1167
5f7d2a2167193676af277fb4,New York Knicks,Patrick Ewing,23665,Walt Frazier,4791,Patrick Ewing,10759,Patrick Ewing,2758,Patrick Ewing,1061
5f7d2a2167193676af277fb6,Indiana Pacers,Reggie Miller,25279,Reggie Miller,4141,Dale Davis,6006,"Jermaine O'Neal",1245,Reggie Miller,1505
5f7d2a2167193676af277fbb,San Antonio Spurs,Tim Duncan,26496,Tony Parker,6829,Tim Duncan,15091,Tim Duncan,3020,Manu Ginobili,1392
5f7d2a2167193676af277fb5,Orlando Magic,Dwight Howard,11435,Jameer Nelson,3501,Dwight Howard,8072,Dwight Howard,1344,Nick Anderson,1004
5f7d2a2167193676af277fc1,Detroit Pistons,Isiah Thomas,18822,Isiah Thomas,9061,Bill Laimbeer,9430,Ben Wallace,1486,Isiah Thomas,1861
5f7d2a2167193676af277fb8,Phoenix Suns,Walter Davis,15666,Steve Nash,6997,Alvan Adams,6937,Larry Nance,940,Alvan Adams,1289
