_id,Name,Instance Page Link,Status,Team,City,Position,Jersey,Height (ft),Weight (lbs),Draft Year,Draft Round,Draft Number,School,Birthday,Start Year,End Year,PTS,AST,REB
5f7ce0ba6e423c59a8ebdc50,Ray Allen,,Not Active,Bucks,Milwaukee,Guard,34,6.5,205,1996,1,5,Connecticut,7/20/1975,1996,2013,18.9,3.4,4.1
5f7ce0ba6e423c59a8ebdc58,Larry Bird,,Not Active,Celtics,Boston,Forward,33,6.9,220,1978,1,6,Indiana State,12/7/1956,1979,1991,24.3,6.3,10
5f7ce0ba6e423c59a8ebdc5e,Dave Cowens,,Not Active,Celtics,Boston,Center,18,6.9,230,1970,1,4,Florida State,10/25/1948,1970,1982,17.6,3.8,13.6
5f7ce0ba6e423c59a8ebdc64,Andre Drummond,,Active,Cavaliers,Cleveland,Center,3,6.1,279,2012,1,9,Connecticut,8/10/1993,2012,Present,17.7,2.7,15.2
5f7ce0ba6e423c59a8ebdc8b,Reggie Miller,,Not Active,Pacers,Indiana,Guard,31,6.7,195,1987,1,11,California-Los Angeles,8/24/1965,1987,2004,18.2,3,3
5f7ce0ba6e423c59a8ebdc68,Alex English,,Not Active,Nuggets,Denver,Forward,2,6.8,190,1976,2,23,South Carolina,1/5/1954,1976,1990,21.5,3.6,5.5
5f7ce0ba6e423c59a8ebdc77,Grant Hill,,Not Active,Pistons,Detroit,Forward,33,6.8,225,1994,1,3,Duke,10/5/1972,1994,2012,16.7,4.1,6
5f7ce0ba6e423c59a8ebdc7e,Michael Jordan,,Not Active,Bulls,Chicago,Guard,23,6.6,216,1984,1,3,North Carolina,2/17/1963,1984,2002,30.1,5.3,6.2
5f7ce0ba6e423c59a8ebdc57,Chauncey Billups,,Not Active,Pistons,Detroit,Guard,1,6.3,210,1997,1,3,Colorado,9/25/1976,1997,2013,15.2,5.4,2.9
5f7ce0ba6e423c59a8ebdc74,Blake Griffin,,Active,Pistons,Detroit,Forward,23,6.9,250,2009,1,1,Oklahoma,3/16/1989,2009,Present,15.5,3.3,4.7
5f7ce0ba6e423c59a8ebdc70,Artis Gilmore,,Not Active,Bulls,Chicago,Center,53,7.2,240,1971,7,117,Jacksonville,9/21/1948,1976,1987,17.1,2,10.1
5f7ce0ba6e423c59a8ebdc81,Bob Lanier,,Not Active,Pistons,Detroit,Center,16,6.1,250,1970,1,1,St. Bonaventure,9/10/1948,1970,1983,20.1,3.1,10.1
5f7ce0ba6e423c59a8ebdc8e,Ja Morant,,Active,Grizzlies,Memphis,Guard,12,6.3,174,2019,1,2,Murray State,8/10/1999,2019,Present,17.8,7.3,3.9
5f7ce0ba6e423c59a8ebdc4f,Kareem Abdul-Jabbar,,Not Active,Lakers,Los Angeles,Center,33,7.2,225,1969,1,1,California-Los Angeles,4/16/1947,1969,1988,24.6,3.6,11.2
5f7ce0ba6e423c59a8ebdc56,Bradley Beal,,Active,Wizards,Washington,Guard,3,6.3,207,2012,1,3,Florida,6/28/1993,2012,Present,30.5,6.1,4.2
5f7ce0ba6e423c59a8ebdc5c,Vince Carter,,Active,Hawks,Atlanta,Guard-Forward,15,6.6,220,1998,1,5,North Carolina,1/26/1977,1998,Present,5,0.8,2.1
5f7ce0ba6e423c59a8ebdc82,Kawhi Leonard,,Active,Clippers,LA,Forward,2,6.7,225,2011,1,15,San Diego State,6/29/1991,2011,Present,27.1,4.9,7.1
5f7ce0ba6e423c59a8ebdc83,Damian Lillard,,Active,Trail Blazers,Portland,Guard,0,6.2,195,2012,1,6,Weber State,7/15/1990,2012,Present,30,8,4.3
5f7ce0ba6e423c59a8ebdc84,Kevin Love,,Active,Cavaliers,Cleveland,Forward-Center,0,6.8,251,2008,1,5,UCLA,9/7/1988,2008,Present,17.6,3.2,9.8
5f7ce0ba6e423c59a8ebdc89,Tracy McGrady,,Not Active,Rockets,Houston,Guard-Forward,1,6.8,225,1997,1,9,Mount Zion Christian Academy,5/24/1979,1997,2012,19.6,4.4,5.6
5f7ce0ba6e423c59a8ebdc8a,Kevin McHale,,Not Active,Celtics,Boston,Forward,32,6.1,210,1980,1,3,Minnesota,12/19/1957,1980,1992,17.9,1.7,7.3
5f7ce0ba6e423c59a8ebdc5a,Kobe Bryant,,Not Active,Lakers,Los Angeles,Forward-Guard,24,6.6,212,1996,1,13,Lower Merion,8/23/1978,1996,2015,25,4.7,5.2
5f7ce0ba6e423c59a8ebdc5d,Wilt Chamberlain,,Not Active,Warriors,San Francisco,Center,13,7.1,250,1959,0,0,Kansas,8/21/1936,1959,1972,30.1,4.4,22.9
5f7ce0ba6e423c59a8ebdc65,Joe Dumars,,Not Active,Pistons,Detroit,Guard,4,6.3,195,1985,1,18,McNeese State,5/24/1963,1985,1998,16.1,4.5,2.2
5f7ce0ba6e423c59a8ebdc6f,George Gervin,,Not Active,Spurs,San Antonio,Guard,44,6.7,180,1974,3,40,Eastern Michigan,4/27/1952,1976,1985,26.2,2.8,4.6
5f7ce0ba6e423c59a8ebdc71,Manu Ginobili,,Not Active,Spurs,San Antonio,Guard,20,6.6,205,1999,2,57,,7/28/1977,2002,2017,13.3,3.8,3.5
5f7ce0ba6e423c59a8ebdc72,Rudy Gobert,,Active,Jazz,Utah,Center,27,7.1,258,2013,1,27, ,6/26/1992,2013,Present,15.1,1.5,13.5
5f7ce0ba6e423c59a8ebdc73,Gail Goodrich,,Not Active,Lakers,Los Angeles,Guard,25,6.1,170,1965,0,0,California-Los Angeles,4/23/1943,1965,1978,18.6,4.7,3.2
