_id,Name,League,Location,Year Founded,Conference,Division,2019-2020: Wins,2019-2020: Losses,2019-2020: PCT,2019-2020: Conference Rank,2019-2020: Division Rank,Arena,Owner,Coach,Championships,Roster
5f7d384272e02a5950f11617,Cavaliers,NBA,Cleveland,1970,East,Central,19,46,0.292,15,5,Quicken Loans Arena,Dan Gilbert,JB Bickerstaff,['2016 against Golden State Warriors'],['Kevin Love (Position: F-C)'; 'Dante Exum (Position: G)'; 'Collin Sexton (Position: G)'; 'Andre Drummond (Position: C)'; 'Kevin Porter Jr. (Position: G-F)'; 'Jordan Bell (Position: F)'; 'Dylan Windler (Position: G-F)'; 'Darius Garland (Position: G)'; 'Tristan Thompson (Position: C-F)'; 'Cedi Osman (Position: F)'; 'Matthew Dellavedova (Position: G)'; 'Larry Nance Jr. (Position: F-C)'; 'Alfonzo McKinnie (Position: F)'; 'Matt Mooney (Position: G)'; 'Dean Wade (Position: F-C)'; 'Ante Zizic (Position: C)']
5f7d384272e02a5950f1161c,Rockets,NBA,Houston,1967,West,Southwest,44,28,0.611,4,1,Toyota Center,Tilman Fertitta, ,['1994 against New York Knicks'; '1995 against Orlando Magic'],['Russell Westbrook (Position: G)'; 'David Nwaba (Position: G-F)'; 'Chris Clemons (Position: G)'; 'Danuel House Jr. (Position: F-G)'; 'Bruno Caboclo (Position: F)'; 'DeMarre Carroll (Position: F)'; 'Eric Gordon (Position: G)'; 'Luc Mbah a Moute (Position: F)'; 'James Harden (Position: G)'; 'Ben McLemore (Position: G)'; 'P.J. Tucker (Position: F)'; 'Thabo Sefolosha (Position: F-G)'; 'Tyson Chandler (Position: C)'; 'Michael Frazier (Position: G)'; 'Austin Rivers (Position: G)'; 'Jeff Green (Position: F)'; 'Robert Covington (Position: F)'; 'William Howard (Position: F-G)']
5f7d384272e02a5950f1162e,Jazz,NBA,Salt Lake City,1974,West,Northwest,44,28,0.611,6,3,Vivint Smart Home Arena,Greg Miller,Quin Snyder,[],"['Jordan Clarkson (Position: G)'; 'Nigel Williams-Goss (Position: G)'; 'Joe Ingles (Position: F-G)'; 'Justin Wright-Foreman (Position: G)'; 'Jarrell Brantley (Position: F)'; 'Rayjon Tucker (Position: G)'; 'Mike Conley (Position: G)'; 'Tony Bradley (Position: C-F)'; 'Emmanuel Mudiay (Position: G)'; 'Juwan Morgan (Position: F)'; 'Ed Davis (Position: C-F)'; ""Royce O'Neale (Position: F)""; 'Rudy Gobert (Position: C)'; 'Georges Niang (Position: F)'; 'Bojan Bogdanovic (Position: F)'; 'Donovan Mitchell (Position: G)'; 'Miye Oni (Position: G-F)']"
5f7d384272e02a5950f1161e,Clippers,NBA,Los Angeles,1970,West,Pacific,49,23,0.681,2,2,Staples Center,Steve Ballmer, ,[],['Reggie Jackson (Position: G)'; 'Kawhi Leonard (Position: F)'; 'JaMychal Green (Position: F-C)'; 'Montrezl Harrell (Position: F-C)'; 'Amir Coffey (Position: G-F)'; 'Paul George (Position: F)'; 'Terance Mann (Position: G-F)'; 'Johnathan Motley (Position: F)'; 'Rodney McGruder (Position: G)'; 'Landry Shamet (Position: G)'; 'Patrick Beverley (Position: G)'; 'Lou Williams (Position: G)'; 'Mfiondu Kabengele (Position: F-C)'; 'Marcus Morris Sr. (Position: F)'; 'Ivica Zubac (Position: C)'; 'Patrick Patterson (Position: F)'; 'Joakim Noah (Position: F-C)']
5f7d384272e02a5950f1161d,Pacers,NBA,Indianapolis,1976,East,Central,45,28,0.616,4,2,Bankers Life Fieldhouse,Herb Simon, ,[],['T.J. Warren (Position: F)'; 'Aaron Holiday (Position: G)'; 'Victor Oladipo (Position: G)'; 'Edmond Sumner (Position: G)'; 'Malcolm Brogdon (Position: G)'; 'Justin Holiday (Position: F-G)'; 'T.J. McConnell (Position: G)'; 'Brian Bowen II (Position: F-G)'; 'Domantas Sabonis (Position: F-C)'; 'JaKarr Sampson (Position: F)'; 'Naz Mitrou-Long (Position: G)'; 'Doug McDermott (Position: F)'; 'TJ Leaf (Position: F)'; 'Alize Johnson (Position: F)'; 'Jeremy Lamb (Position: G-F)'; 'Myles Turner (Position: C-F)'; 'Goga Bitadze (Position: C-F)']
5f7d384272e02a5950f11622,Bucks,NBA,Milwaukee,1968,East,Central,56,17,0.767,1,1,Fiserv Forum,Wesley Edens & Marc Lasry,Mike Budenholzer,['1971 against Baltimore Bullets'],['Donte DiVincenzo (Position: G)'; 'George Hill (Position: G)'; 'D.J. Wilson (Position: F)'; 'Eric Bledsoe (Position: G)'; 'Ersan Ilyasova (Position: F)'; 'Wesley Matthews (Position: G)'; 'Brook Lopez (Position: C)'; 'Cameron Reynolds (Position: G-F)'; 'Frank Mason (Position: G)'; 'Marvin Williams (Position: F)'; 'Khris Middleton (Position: F)'; 'Sterling Brown (Position: G-F)'; 'Pat Connaughton (Position: G)'; 'Kyle Korver (Position: G-F)'; 'Giannis Antetokounmpo (Position: F)'; 'Robin Lopez (Position: C)'; 'Thanasis Antetokounmpo (Position: F)']
5f7d384272e02a5950f11626,Thunder,NBA,Oklahoma City,1967,West,Northwest,44,28,0.611,5,2,Chesapeake Energy Arena,Clay Bennett, ,['1979 against Washington Bullets'],['Shai Gilgeous-Alexander (Position: G-F)'; 'Chris Paul (Position: G)'; 'Luguentz Dort (Position: G)'; 'Hamidou Diallo (Position: G)'; 'Darius Bazley (Position: F-G)'; 'Danilo Gallinari (Position: F)'; 'Nerlens Noel (Position: C-F)'; 'Abdel Nader (Position: F)'; 'Steven Adams (Position: C)'; 'Devon Hall (Position: G)'; 'Kevin Hervey (Position: F)'; 'Dennis Schroder (Position: G)'; 'Andre Roberson (Position: G-F)'; 'Isaiah Roby (Position: F)'; 'Terrance Ferguson (Position: G)'; 'Deonte Burton (Position: G-F)'; 'Mike Muscala (Position: F-C)']
5f7d384272e02a5950f11628,76ers,NBA,Philadelphia,1949,East,Atlantic,43,30,0.589,6,3,Wells Fargo Center,Joshua Harris,Doc Rivers,['1955 against Fort Wayne Pistons'; '1967 against San Francisco Warriors'; '1983 against Los Angeles Lakers'],"['Josh Richardson (Position: G)'; 'Mike Scott (Position: F)'; 'Zhaire Smith (Position: G)'; ""Kyle O'Quinn (Position: C-F)""; 'Tobias Harris (Position: F)'; 'Norvel Pelle (Position: F)'; 'Shake Milton (Position: G-F)'; 'Raul Neto (Position: G)'; 'Alec Burks (Position: G)'; 'Joel Embiid (Position: C-F)'; 'Matisse Thybulle (Position: G-F)'; 'Ben Simmons (Position: G-F)'; 'Furkan Korkmaz (Position: G-F)'; 'Marial Shayok (Position: G-F)'; 'Glenn Robinson III (Position: F)'; 'Al Horford (Position: C-F)'; 'Ryan Broekhoff (Position: G-F)']"
5f7d384272e02a5950f11612,Hawks,NBA,Atlanta,1949,East,Southeast,20,47,0.299,14,5,State Farm Arena,Tony Ressler,Lloyd Pierce,['1958 against Boston Celtics'],"['Jeff Teague (Position: G)'; 'Brandon Goodwin (Position: G)'; 'Treveon Graham (Position: G-F)'; 'Kevin Huerter (Position: G-F)'; 'Charles Brown Jr. (Position: G)'; 'Skal Labissiere (Position: F-C)'; 'Trae Young (Position: G)'; ""De'Andre Hunter (Position: F-G)""; 'Dewayne Dedmon (Position: C)'; 'Vince Carter (Position: G-F)'; 'Clint Capela (Position: C)'; 'John Collins (Position: F)'; 'Cam Reddish (Position: F-G)'; 'Bruno Fernando (Position: F-C)'; 'Damian Jones (Position: C)'; ""DeAndre' Bembry (Position: G-F)""]"
5f7d384272e02a5950f1161f,Lakers,NBA,Los Angeles,1948,West,Pacific,52,19,0.732,1,1,Staples Center,Jerry Buss Family Trust,Frank Vogel,['1949 against Washington Capitols'; '1950 against Syracuse Nationals (76ers)'; '1952 against New York Knicks'; '1953 against New York Knicks'; '1954 against Syracuse Nationals (76ers)'; '1972 against New York Knicks'; '1980 against Philadelphia 76ers'; '1982 against Philadelphia 76ers'; '1985 against Boston Celtics'; '1987 against Boston Celtics'; '1988 against Detroit Pistons'; '2000 against Indiana Pacers'; '2001 against Philadelphia 76ers'; '2002 against New Jersey Nets'; '2009 against Orlando Magic'; '2010 against Boston Celtics'],['Kyle Kuzma (Position: F)'; 'Kentavious Caldwell-Pope (Position: G)'; 'Anthony Davis (Position: F-C)'; 'Alex Caruso (Position: G)'; 'Talen Horton-Tucker (Position: G)'; 'JaVale McGee (Position: C-F)'; 'Rajon Rondo (Position: G)'; 'Jared Dudley (Position: F)'; 'Avery Bradley (Position: G)'; 'Devontae Cacok (Position: F)'; 'Danny Green (Position: G)'; 'Dion Waiters (Position: G)'; 'JR Smith (Position: G)'; 'LeBron James (Position: F)'; 'Quinn Cook (Position: G)'; 'Kostas Antetokounmpo (Position: F)'; 'Dwight Howard (Position: C-F)'; 'Markieff Morris (Position: F)']
