_id,Year,Western Champion,Eastern Champion,NBA Finals Winner,Season MVP,Finals MVP
5f7ae75dd9aed32f30217582,1970,Los Angeles Lakers,New York Knicks,New York Knicks,Willis Reed,Willis Reed
5f7ae75dd9aed32f30217570,1952,Los Angeles Lakers,New York Knicks,Los Angeles Lakers,None,None
5f7ae75dd9aed32f30217596,1990,Portland Trail Blazers,Detroit Pistons,Detroit Pistons,Magic Johnson,Isiah Thomas
5f7ae75dd9aed32f30217599,1993,Phoenix Suns,Chicago Bulls,Chicago Bulls,Charles Barkley,Michael Jordan
5f7ae75dd9aed32f30217572,1954,Los Angeles Lakers,Syracuse Nationals (76ers),Los Angeles Lakers,None,None
5f7ae75dd9aed32f30217575,1957,St. Louis Hawks,Boston Celtics,Boston Celtics,Bob Cousy,None
5f7ae75dd9aed32f3021759d,1997,Utah Jazz,Chicago Bulls,Chicago Bulls,Karl Malone,Michael Jordan
5f7ae75dd9aed32f3021756e,1950,Los Angeles Lakers,Syracuse Nationals (76ers),Los Angeles Lakers,None,None
5f7ae75dd9aed32f3021757b,1963,Los Angeles Lakers,Boston Celtics,Boston Celtics,Bill Russell,None
5f7ae75dd9aed32f3021757e,1966,Los Angeles Lakers,Boston Celtics,Boston Celtics,Wilt Chamberlain,None
5f7ae75dd9aed32f3021758d,1981,Houston Rockets,Boston Celtics,Boston Celtics,Julius Erving,Cedric Maxwell
5f7ae75dd9aed32f30217598,1992,Portland Trail Blazers,Chicago Bulls,Chicago Bulls,Michael Jordan,Michael Jordan
5f7ae75dd9aed32f30217571,1953,Los Angeles Lakers,New York Knicks,Los Angeles Lakers,None,None
5f7ae75dd9aed32f3021757a,1962,Los Angeles Lakers,Boston Celtics,Boston Celtics,Bill Russell,None
5f7ae75dd9aed32f30217592,1986,Houston Rockets,Boston Celtics,Boston Celtics,Larry Bird,Larry Bird
5f7ae75dd9aed32f3021759f,1999,San Antonio Spurs,New York Knicks,San Antonio Spurs,Karl Malone,Tim Duncan
5f7ae75dd9aed32f302175a7,2007,San Antonio Spurs,Cleveland Cavaliers,San Antonio Spurs,Dirk Nowitzki,Tony Parker
5f7ae75dd9aed32f30217577,1959,Minneapolis Lakers,Boston Celtics,Boston Celtics,Bob Pettit,None
